Time(s),Voltage I/O-1(V)
0,0.001
0.002,0
0.004,0.001
0.006,0
0.008,-0.002
0.01,0
0.012,0
0.014,0
0.016,0.001
0.018,0.001
0.02,0.001
0.022,-0.001
0.024,0.001
0.026,0.002
0.028,-0.001
0.03,0.002
0.032,0
0.034,-0.001
0.036,0
0.038,0.001
0.04,0
0.042,0.002
0.044,0
0.046,0.001
0.048,0.002
0.05,0.002
0.052,-0.001
0.054,0.001
0.056,-0.001
0.058,0.001
0.06,0
0.062,0.004
0.064,0.001
0.066,0.002
0.068,0.002
0.07,0
0.072,0.001
0.074,0
0.076,0
0.078,0.001
0.08,0.001
0.082,0.004
0.084,0.002
0.086,0
0.088,0.001
0.09,0.001
0.092,-0.001
0.094,0
0.096,0
0.098,0.001
0.1,0.001
0.102,0
0.104,0
0.106,0.001
0.108,0
0.11,0.002
0.112,-0.001
0.114,-0.001
0.116,0.001
0.118,0
0.12,0
0.122,0
0.124,0
0.126,0.004
0.128,0
0.13,0.002
0.132,0.001
0.134,-0.001
0.136,0
0.138,0
0.14,0
0.142,0
0.144,-0.001
0.146,0.002
0.148,0.001
0.15,0.002
0.152,0.002
0.154,0
0.156,0.001
0.158,0.001
0.16,-0.001
0.162,0.001
0.164,-0.002
0.166,0.001
0.168,0.001
0.17,0.002
0.172,0.002
0.174,0.001
0.176,-0.001
0.178,0.001
0.18,0
0.182,0
0.184,0
0.186,0
0.188,0.002
0.19,0.001
0.192,0
0.194,0.002
0.196,0
0.198,0.001
0.2,0
0.202,0
0.204,0.001
0.206,0.002
0.208,0.002
0.21,0.002
0.212,0.002
0.214,0.001
0.216,0
0.218,0
0.22,0
0.222,-0.001
0.224,0.001
0.226,0.001
0.228,0
0.23,0.001
0.232,0.001
0.234,0
0.236,0.001
0.238,0
0.24,0
0.242,0.001
0.244,-0.001
0.246,0
0.248,0
0.25,0
0.252,0.002
0.254,0.001
0.256,0.002
0.258,0.001
0.26,0
0.262,0.001
0.264,0
0.266,0
0.268,0.001
0.27,0
0.272,0.001
0.274,0.001
0.276,0
0.278,0.001
0.28,0
0.282,0.001
0.284,0.002
0.286,0.001
0.288,0
0.29,0.002
0.292,-0.001
0.294,0
0.296,-0.001
0.298,0.001
0.3,0.001
0.302,0.001
0.304,0.002
0.306,-0.001
0.308,-0.001
0.31,0.002
0.312,-0.001
0.314,0
0.316,0.001
0.318,0.001
0.32,0
0.322,0.002
0.324,0.002
0.326,0
0.328,0
0.33,0.002
0.332,-0.001
0.334,0
0.336,0
0.338,-0.001
0.34,0.002
0.342,0.002
0.344,-0.001
0.346,0.001
0.348,0.001
0.35,-0.001
0.352,0
0.354,0
0.356,0
0.358,0
0.36,0.002
0.362,0
0.364,0.001
0.366,0
0.368,0.001
0.37,-0.001
0.372,0
0.374,0
0.376,0
0.378,0.001
0.38,0.002
0.382,0.001
0.384,0
0.386,0
0.388,0
0.39,-0.001
0.392,-0.002
0.394,0
0.396,-0.001
0.398,-0.001
0.4,0.001
0.402,-0.001
0.404,0.001
0.406,0
0.408,-0.001
0.41,0
0.412,-0.002
0.414,-0.002
0.416,0
0.418,-0.002
0.42,-0.002
0.422,-0.002
0.424,-0.001
0.426,-0.001
0.428,-0.001
0.43,-0.002
0.432,-0.004
0.434,-0.005
0.436,-0.002
0.438,-0.006
0.44,-0.005
0.442,-0.005
0.444,-0.004
0.446,-0.004
0.448,-0.002
0.45,-0.006
0.452,-0.006
0.454,-0.007
0.456,-0.007
0.458,-0.007
