Time(s),Voltage I/O-1(V)
0.0,-0.0
0.002,-0.002
0.004,-0.0
0.006,-0.001
0.008,-0.001
0.01,-0.001
0.012,-0.0
0.014,0.001
0.016,-0.001
0.018,-0.001
0.02,-0.001
0.022,-0.002
0.024,-0.001
0.026,-0.001
0.028,-0.002
0.03,-0.0
0.032,-0.0
0.034,-0.001
0.036,-0.0
0.038,-0.0
0.04,-0.001
0.042,-0.001
0.044,-0.002
0.046,-0.002
0.048,-0.001
0.05,-0.0
0.052,-0.001
0.054,-0.001
0.056,-0.0
0.058,-0.001
0.06,-0.005
0.062,-0.001
0.064,-0.001
0.066,-0.001
0.068,-0.0
0.07,-0.001
0.072,-0.001
0.074,-0.001
0.076,-0.001
0.078,-0.0
0.08,-0.001
0.082,0.001
0.084,-0.0
0.086,-0.002
0.088,-0.001
0.09,-0.002
0.092,-0.002
0.094,-0.0
0.096,-0.002
0.098,-0.001
0.1,-0.0
0.102,-0.002
0.104,-0.001
0.106,-0.002
0.108,-0.002
0.11,-0.001
0.112,-0.001
0.114,-0.001
0.116,-0.0
0.118,-0.001
0.12,-0.0
0.122,-0.0
0.124,-0.001
0.126,-0.001
0.128,-0.004
0.13,-0.002
0.132,-0.002
0.134,-0.002
0.136,-0.001
0.138,-0.002
0.14,-0.002
0.142,0.001
0.144,-0.002
0.146,-0.004
0.148,-0.004
0.15,-0.004
0.152,-0.002
0.154,-0.004
0.156,-0.002
0.158,-0.002
0.16,-0.002
0.162,-0.001
0.164,-0.002
0.166,-0.005
0.168,-0.005
0.17,-0.005
0.172,-0.005
0.174,-0.005
0.176,-0.005
0.178,-0.004
0.18,-0.005
0.182,-0.004
0.184,-0.005
0.186,-0.006
0.188,-0.006
0.19,-0.006
0.192,-0.007
0.194,-0.006
0.196,-0.007
0.198,-0.009
0.2,-0.009
0.202,-0.01
0.204,-0.01
0.206,-0.012
0.208,-0.012
0.21,-0.012
0.212,-0.015
0.214,-0.016
0.216,-0.017
0.218,-0.02
0.22,-0.02
0.222,-0.021
0.224,-0.024
0.226,-0.027
0.228,-0.029
0.23,-0.033
0.232,-0.037
0.234,-0.042
0.236,-0.046
0.238,-0.052
0.24,-0.059
0.242,-0.063
0.244,-0.077
0.246,-0.084
0.248,-0.098
0.25,-0.112
0.252,-0.128
0.254,-0.148
0.256,-0.171
0.258,-0.197
0.26,-0.227
0.262,-0.256
0.264,-0.297
0.266,-0.334
0.268,-0.372
0.27,-0.41
0.272,-0.441
0.274,-0.46
0.276,-0.467
0.278,-0.457
0.28,-0.428
0.282,-0.382
0.284,-0.32
0.286,-0.25
0.288,-0.168
0.29,-0.078
0.292,0.017
0.294,0.118
0.296,0.227
0.298,0.342
0.3,0.461
0.302,0.583
0.304,0.708
0.306,0.826
0.308,0.934
0.31,1.022
0.312,1.077
0.314,1.095
0.316,1.07
0.318,1.001
0.32,0.898
0.322,0.765
0.324,0.618
0.326,0.461
0.328,0.304
0.33,0.148
0.332,-0.011
0.334,-0.173
0.336,-0.338
0.338,-0.51
0.34,-0.684
0.342,-0.857
0.344,-1.018
0.346,-1.15
0.348,-1.233
0.35,-1.252
0.352,-1.201
0.354,-1.089
0.356,-0.931
0.358,-0.748
0.36,-0.557
0.362,-0.364
0.364,-0.173
0.366,0.016
0.368,0.205
0.37,0.393
0.372,0.587
0.374,0.786
0.376,0.978
0.378,1.151
0.38,1.28
0.382,1.349
0.384,1.357
0.386,1.296
0.388,1.168
0.39,0.978
0.392,0.757
0.394,0.53
0.396,0.303
0.398,0.084
0.4,-0.134
0.402,-0.365
0.404,-0.609
0.406,-0.878
0.408,-1.168
0.41,-1.46
0.412,-1.682
0.414,-1.765
0.416,-1.666
0.418,-1.39
0.42,-1.011
0.422,-0.746
0.424,-0.56
0.426,-0.386
0.428,-0.22
0.43,-0.06
0.432,0.09
0.434,0.234
0.436,0.382
0.438,0.531
0.44,0.664
0.442,0.738
0.444,-0.333
0.446,-0.255
0.448,-0.21
0.45,-0.212
0.452,-0.186
0.454,-0.16
0.456,-0.162
0.458,-0.11
0.46,-0.104
0.462,-0.112
0.464,-0.094
0.466,-0.059
0.468,-0.059
0.47,-0.055
0.472,-0.026
0.474,-0.028
0.476,-0.022
0.478,-0.024
0.48,-0.013
0.482,-0.011
0.484,-0.001
0.486,0.001
0.488,-0.0
0.49,-0.004
0.492,-0.0
0.494,0.002
0.496,0.006
0.498,0.006
0.5,0.012
0.502,0.012
0.504,0.017
0.506,0.02
0.508,0.021
0.51,0.027
0.512,0.028
0.514,0.032
0.516,0.037
