Time(s),Voltage I/O-1(V)
0.798,0.0
0.8,-0.002
0.802,0.0
0.804,-0.001
0.806,0.001
0.808,0.0
0.81,-0.001
0.812,0.001
0.814,0.0
0.816,-0.001
0.818,0.0
0.82,-0.001
0.822,-0.002
0.824,-0.002
0.826,-0.001
0.828,-0.001
0.83,-0.002
0.832,-0.001
0.834,0.0
0.836,-0.002
0.838,-0.001
0.84,-0.004
0.842,-0.005
0.844,-0.002
0.846,-0.002
0.848,-0.002
0.85,0.0
0.852,-0.005
0.854,-0.004
0.856,-0.005
0.858,-0.005
0.86,-0.004
0.862,-0.005
0.864,-0.005
0.866,-0.005
0.868,-0.005
0.87,-0.005
0.872,-0.007
0.874,-0.005
0.876,-0.006
0.878,-0.006
0.88,-0.006
0.882,-0.007
0.884,-0.009
0.886,-0.009
0.888,-0.009
0.89,-0.01
0.892,-0.01
0.894,-0.01
0.896,-0.012
0.898,-0.015
0.9,-0.013
0.902,-0.015
0.904,-0.016
0.906,-0.016
0.908,-0.017
0.91,-0.021
0.912,-0.02
0.914,-0.022
0.916,-0.024
0.918,-0.024
0.92,-0.028
0.922,-0.029
0.924,-0.033
0.926,-0.035
0.928,-0.039
0.93,-0.044
0.932,-0.05
0.934,-0.052
0.936,-0.059
0.938,-0.062
0.94,-0.07
0.942,-0.076
0.944,-0.083
0.946,-0.095
0.948,-0.106
0.95,-0.117
0.952,-0.132
0.954,-0.145
0.956,-0.164
0.958,-0.182
0.96,-0.205
0.962,-0.232
0.964,-0.256
0.966,-0.286
0.968,-0.32
0.97,-0.352
0.972,-0.386
0.974,-0.417
0.976,-0.449
0.978,-0.474
0.98,-0.491
0.982,-0.499
0.984,-0.494
0.986,-0.477
0.988,-0.453
0.99,-0.419
0.992,-0.378
0.994,-0.332
0.996,-0.284
0.998,-0.237
1.0,-0.189
1.002,-0.14
1.004,-0.093
1.006,-0.049
1.008,-0.009
1.01,0.027
1.012,0.059
1.014,0.082
1.016,0.098
1.018,0.101
1.02,0.089
1.022,0.063
1.024,0.026
1.026,-0.022
1.028,-0.068
1.03,-0.106
1.032,-0.131
1.034,-0.139
