Time(s),Voltage I/O-1(V)
0.662,-0.0
0.664,-0.0
0.666,-0.0012
0.668,-0.0
0.67,-0.0012
0.6719999999999999,-0.0
0.6739999999999999,-0.0
0.6759999999999999,-0.0012
0.6779999999999999,-0.0
0.6799999999999999,-0.0012
0.6819999999999999,-0.0024
0.6839999999999999,-0.0
0.6859999999999999,-0.0
0.688,-0.0
0.69,-0.0
0.692,-0.0024
0.694,-0.0024
0.696,-0.0024
0.698,-0.0024
0.7,-0.0
0.702,-0.0
0.704,-0.0
0.706,-0.0
0.708,-0.0
0.71,-0.0
0.712,-0.0012
0.714,-0.0012
0.716,-0.0
0.718,-0.0012
0.72,-0.0
0.722,-0.0012
0.724,-0.0012
0.726,-0.0
0.728,-0.0
0.73,-0.0
0.732,-0.0
0.734,-0.0012
0.736,-0.0012
0.738,-0.0012
0.74,-0.0024
0.742,-0.0012
0.744,-0.0012
0.746,-0.0
0.748,0.0012
0.75,-0.0
0.752,-0.0
0.754,-0.0024
0.756,-0.0012
0.758,-0.0
0.76,-0.0024
0.762,-0.0024
0.764,-0.0
0.766,-0.0012
0.768,-0.0
0.77,-0.0
0.772,-0.0024
0.774,-0.0012
0.776,-0.0024
0.778,-0.0
0.78,-0.0
0.782,-0.0012
0.784,-0.0
0.786,-0.0012
0.788,-0.0024
0.79,0.0012
0.792,-0.0024
0.794,-0.0
0.796,-0.0
0.798,-0.0
0.8,-0.0
0.802,-0.0
0.804,-0.0012
0.806,-0.0012
0.808,-0.0024
0.81,0.0024
0.812,-0.0
0.8140000000000001,-0.0012
0.8160000000000001,-0.0
0.8180000000000001,-0.0
0.8200000000000001,-0.0
0.8220000000000001,-0.0012
0.8240000000000001,-0.0012
0.8260000000000001,-0.0012
0.8280000000000001,-0.0012
0.8300000000000001,-0.0012
0.8320000000000001,-0.0
0.8340000000000001,-0.0024
0.8360000000000001,-0.0024
0.8380000000000001,-0.0012
0.8400000000000001,-0.0024
0.8420000000000001,-0.0
0.844,-0.0
0.846,-0.0
0.848,-0.0012
0.85,-0.0024
0.852,-0.0012
0.854,-0.0012
0.856,-0.0012
0.858,-0.0
0.86,-0.0012
0.862,-0.0012
0.864,-0.0
0.866,-0.0037
0.868,-0.0
0.87,-0.0024
0.872,-0.0024
0.874,-0.0
0.876,-0.0
0.878,-0.0024
0.88,-0.0024
0.882,-0.0037
0.884,-0.0024
0.886,-0.0037
0.888,-0.0024
0.89,-0.0024
0.892,-0.0024
0.894,-0.0024
0.896,-0.0024
0.898,-0.0037
0.9,-0.0024
0.902,-0.0037
0.904,-0.0037
