Time(s),Voltage I/O-1(V)
0.798,-0.002
0.8,-0.001
0.802,-0.002
0.804,-0.002
0.806,-0.001
0.808,-0.0
0.81,-0.001
0.812,-0.002
0.8140000000000001,-0.002
0.8160000000000001,-0.002
0.8180000000000001,-0.002
0.8200000000000001,-0.002
0.8220000000000001,-0.002
0.8240000000000001,-0.004
0.8260000000000001,-0.001
0.8280000000000001,-0.002
0.8300000000000001,-0.004
0.8320000000000001,-0.002
0.8340000000000001,-0.005
0.8360000000000001,-0.002
0.8380000000000001,-0.001
0.8400000000000001,-0.002
0.8420000000000001,-0.002
0.8440000000000001,-0.002
0.8460000000000001,-0.002
0.8480000000000001,-0.001
0.8500000000000001,-0.005
0.8520000000000001,-0.004
0.8540000000000001,-0.004
0.8560000000000001,-0.005
0.8580000000000001,-0.002
0.8600000000000001,-0.002
0.8620000000000001,-0.005
0.8640000000000001,-0.004
0.8660000000000001,-0.006
0.8680000000000001,-0.004
0.87,-0.006
0.872,-0.006
0.874,-0.006
0.876,-0.006
0.878,-0.006
0.88,-0.007
0.882,-0.007
0.884,-0.006
0.886,-0.009
0.888,-0.009
0.89,-0.007
0.892,-0.011
0.894,-0.009
0.896,-0.011
0.898,-0.013
0.9,-0.012
0.902,-0.013
0.904,-0.013
0.906,-0.015
0.908,-0.015
0.91,-0.017
0.912,-0.018
0.914,-0.017
0.916,-0.02
0.918,-0.023
0.92,-0.024
0.922,-0.026
0.924,-0.031
0.926,-0.029
0.928,-0.034
0.93,-0.037
0.932,-0.039
0.934,-0.043
0.936,-0.048
0.9380000000000001,-0.051
0.9400000000000001,-0.059
0.9420000000000001,-0.063
0.9440000000000001,-0.072
0.9460000000000001,-0.078
0.9480000000000001,-0.088
0.9500000000000001,-0.098
0.9520000000000001,-0.109
0.9540000000000001,-0.121
0.9560000000000001,-0.134
0.9580000000000001,-0.149
0.9600000000000001,-0.166
0.9620000000000001,-0.184
0.9640000000000001,-0.205
0.9660000000000001,-0.228
0.9680000000000001,-0.251
0.97,-0.273
0.972,-0.298
0.974,-0.32
0.976,-0.339
0.978,-0.356
0.98,-0.367
0.982,-0.371
0.984,-0.364
0.986,-0.347
0.988,-0.325
0.99,-0.29
0.992,-0.251
0.994,-0.204
0.996,-0.153
0.998,-0.096
1.0,-0.035
1.002,0.029
1.004,0.098
1.006,0.172
1.008,0.247
1.01,0.325
1.012,0.405
1.014,0.489
1.016,0.574
1.018,0.657
1.02,0.734
1.022,0.802
1.024,0.852
1.026,0.889
1.028,0.901
1.03,0.889
1.032,0.854
1.034,0.798
1.036,0.725
1.038,0.635
1.04,0.537
1.042,0.433
1.044,0.328
1.046,0.222
1.048,0.115
1.05,0.007
1.052,-0.1
1.054,-0.211
1.056,-0.327
1.058,-0.444
1.06,-0.564
1.062,-0.685
1.064,-0.797
1.066,-0.898
1.068,-0.976
1.07,-1.024
1.072,-1.035
1.074,-1.002
1.076,-0.936
1.078,-0.84
1.08,-0.721
1.082,-0.592
1.084,-0.457
1.086,-0.32
1.088,-0.186
1.09,-0.05
1.092,0.083
1.094,0.217
1.096,0.355
1.098,0.491
1.1,0.632
1.102,0.767
1.104,0.893
1.106,1.003
1.108,1.078
1.11,1.119
1.112,1.122
1.114,1.084
1.116,1.007
1.118,0.893
1.12,0.752
1.122,0.597
1.124,0.433
1.1260000000000001,0.27
1.1280000000000001,0.104
1.1300000000000001,-0.063
1.1320000000000001,-0.232
1.1340000000000001,-0.411
1.1360000000000001,-0.596
1.1380000000000001,-0.791
1.1400000000000001,-0.99
1.142,-1.175
1.1440000000000001,-1.323
1.146,-1.405
1.1480000000000001,-1.401
1.15,-1.313
1.1520000000000001,-1.157
1.154,-0.965
1.1560000000000001,-0.771
1.158,-0.582
1.1600000000000001,-0.405
1.162,-0.239
1.1640000000000001,-0.081
1.166,0.071
1.1680000000000001,0.226
1.17,0.382
1.1720000000000002,0.544
1.174,0.69
1.1760000000000002,0.762
1.178,-0.36
1.1800000000000002,-0.281
1.182,-0.237
1.1840000000000002,-0.221
1.186,-0.2
1.1880000000000002,-0.186
1.19,-0.175
1.1920000000000002,-0.128
1.194,-0.123
1.1960000000000002,-0.12
1.198,-0.101
1.2000000000000002,-0.081
1.202,-0.078
1.2040000000000002,-0.044
1.206,-0.046
1.208,-0.035
1.21,-0.028
1.212,-0.023
1.214,-0.022
1.216,-0.018
1.218,-0.012
1.22,-0.013
1.222,-0.007
1.224,-0.005
1.226,-0.001
1.228,-0.002
1.23,-0.002
1.232,0.002
1.234,0.004
1.236,0.006
1.238,0.01
1.24,0.015
1.242,0.017
1.244,0.021
1.246,0.022
1.248,0.026
1.25,0.027
1.252,0.032
1.254,0.034
1.256,0.037
1.258,0.04
1.26,0.042
1.262,0.044
1.264,0.05
1.266,0.052
1.268,0.059
1.27,0.065
1.272,0.071
1.274,0.078
1.276,0.083
1.278,0.088
1.28,0.096
1.282,0.101
1.284,0.112
1.286,0.117
1.288,0.122
1.29,0.131
1.292,0.139
1.294,0.146
1.296,0.153
1.298,0.156
1.3,0.161
1.302,-0.028
1.304,-0.046
1.306,-0.045
1.308,-0.043
1.31,-0.035
1.312,-0.024
1.314,-0.02
1.316,-0.013
1.318,-0.01
1.32,-0.005
1.322,0.002
1.324,0.009
1.326,0.015
1.328,0.018
1.33,0.018
1.332,0.022
1.334,0.026
1.336,0.029
1.338,0.032
1.34,0.035
1.342,0.039
1.344,0.015
1.346,-0.005
1.348,-0.007
1.35,-0.007
1.352,-0.004
1.354,-0.0
1.356,-0.0
1.358,0.004
1.36,0.004
1.362,-0.0
1.3639999999999999,-0.0
1.366,-0.001
1.3679999999999999,-0.0
1.37,0.001
1.3719999999999999,-0.002
1.374,-0.0
1.376,-0.002
1.3780000000000001,-0.001
1.38,-0.001
1.3820000000000001,-0.0
1.384,0.002
1.3860000000000001,-0.001
1.388,-0.001
1.3900000000000001,-0.0
1.392,-0.001
1.3940000000000001,-0.001
1.396,-0.0
1.3980000000000001,-0.0
1.4,0.001
1.4020000000000001,-0.001
1.404,0.001
1.4060000000000001,-0.001
1.408,-0.001
1.4100000000000001,-0.002
1.412,-0.0
1.4140000000000001,-0.0
1.416,0.001
1.4180000000000001,-0.0
1.42,-0.0
1.4220000000000002,-0.0
1.424,-0.002
1.4260000000000002,-0.0
1.428,-0.0
1.4300000000000002,-0.002
1.432,-0.0
1.4340000000000002,-0.0
1.436,-0.002
1.4380000000000002,-0.0
1.44,-0.001
1.4420000000000002,-0.001
1.444,-0.0
1.4460000000000002,-0.0
1.448,-0.0
1.4500000000000002,-0.0
1.452,0.001
1.4540000000000002,-0.0
1.456,-0.0
1.4580000000000002,-0.0
1.46,-0.001
1.4620000000000002,-0.001
1.464,-0.0
1.4660000000000002,-0.001
1.468,-0.0
1.4700000000000002,0.001
1.472,-0.001
1.4740000000000002,-0.0
1.476,-0.0
1.4780000000000002,-0.001
1.48,-0.001
1.4820000000000002,-0.001
1.484,-0.001
1.486,-0.001
1.488,-0.001
1.49,-0.0
1.492,-0.0
1.494,-0.0
1.496,-0.0
1.498,-0.001
1.5,-0.002
1.502,-0.0
1.504,-0.002
1.506,-0.0
1.508,-0.001
1.51,-0.0
